trips,date
270,2016/7/23
242,2016/7/24
1200,2016/7/25
1213,2016/7/26
1219,2016/7/27
1166,2016/7/28
1102,2016/7/29
356,2016/7/30
311,2016/7/31
1165,2016/8/1
1241,2016/8/2
1231,2016/8/3
1140,2016/8/4
967,2016/8/5
300,2016/8/6
275,2016/8/7
1268,2016/8/8
1233,2016/8/9
1162,2016/8/10
1166,2016/8/11
1032,2016/8/12
670,2016/8/13
736,2016/8/14
1204,2016/8/15
1270,2016/8/16
1253,2016/8/17
1264,2016/8/18
1074,2016/8/19
313,2016/8/20
291,2016/8/21
1176,2016/8/22
1241,2016/8/23
1242,2016/8/24
1184,2016/8/25
1096,2016/8/26
291,2016/8/27
285,2016/8/28
1196,2016/8/29
1213,2016/8/30
1176,2016/8/31
